"機關代碼","機關名稱","郵遞區號","機關地址","機關電話","主管機關代碼","主管機關名稱","傳真","機關生效日期","機關裁撤日期","機關層級","裁撤註記","新機關代碼","新機關名稱","新機關生效日","舊機關代碼","舊機關名稱"
"376525600A","高雄縣大寮鄉公所","831","高雄縣大寮鄉鳳林三路四九二號				","07-7813041","376520000A","高雄縣政府","07-7822783","0000000","0991225","3","是","397670000A","高雄市大寮區公所","0991225","",""
"376525606A","高雄縣大寮鄉公有零售市場管理所","831","","07-7813041","376525600A","高雄縣大寮鄉公所","07-7828967","0000000","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","",""
"376525611I","高雄縣大寮鄉清潔隊","831","高雄縣大寮鄉鳳林三路四九二號				","07-7813041","376525600A","高雄縣大寮鄉公所","07-7826297","0000000","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376525621E","高雄縣大寮鄉立圖書館","831","高雄縣大寮鄉鳳林三路四九二號				","07-7862140","376525600A","高雄縣大寮鄉公所","","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376525680J","高雄縣大寮鄉立托兒所","831","高雄縣大寮鄉鳳林三路四九二號				","07-7862404","376525600A","高雄縣大寮鄉公所","","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376525700A","高雄縣大樹鄉公所","840","高雄縣大樹中興北路一二０號				","07-6512003","376520000A","高雄縣政府","07-6520638","0000000","0991225","3","是","397680000A","高雄市大樹區公所","0991225","",""
"376525706A","高雄縣大樹鄉公有零售市場管理所","840","高雄縣大樹鄉中興北路120號","07-6512003","376525700A","高雄縣大樹鄉公所","07-6520638","0000000","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","",""
"376525711I","高雄縣大樹鄉清潔隊","840","高雄縣大樹鄉中興北路120號","76512003","376525700A","高雄縣大樹鄉公所","76520638","0000000","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376525721E","高雄縣大樹鄉立圖書館","840","高雄縣大樹鄉中興北路120號","07-6512003","376525700A","高雄縣大樹鄉公所","76520638","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376525800A","高雄縣仁武鄉公所","814","高雄縣仁武鄉中正路八十號					","07-3727900","376520000A","高雄縣政府","07-3727916","0000000","0991225","3","是","397690000A","高雄市仁武區公所","0991225","",""
"376525811I","高雄縣仁武鄉清潔隊","814","高雄縣仁武鄉中正路八十號					","07-3727900","376525800A","高雄縣仁武鄉公所","07-3727916","0000000","0910221","4","是","","","","",""
"376525821E","高雄縣仁武鄉立圖書館","814","高雄縣仁武鄉中正路八十號					","07-3727900","376525800A","高雄縣仁武鄉公所","07-3727916","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376525851J","高雄縣仁武鄉立殯儀館","814","高雄縣仁武鄉中正路八十號					","07-3727900","376525800A","高雄縣仁武鄉公所","07-3727916","0000000","0941205","4","是","376525852J","高雄縣仁武鄉立殯葬管理所","0941205","",""
"376525852J","高雄縣仁武鄉立殯葬管理所","814","高雄縣仁武鄉中正路80號","07-3727900","376525800A","高雄縣仁武鄉公所","07-3727916","0941205","0991225","4","是","397020100J","高雄市殯葬管理處","0991225","376525851J","高雄縣仁武鄉立殯儀館"
"376525880J","高雄縣仁武鄉立托兒所","814","高雄縣仁武鄉中正路八十號					","07-3727900","376525800A","高雄縣仁武鄉公所","07-3727916","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376525891G","高雄縣仁武鄉公園及路燈管理所","814","高雄縣仁武鄉水管路3段776號","07-3758694","376525800A","高雄縣仁武鄉公所","07-3758932","0970130","0991225","4","是","397110300G","高雄市政府工務局養護工程處","0991225","",""
"376525900A","高雄縣大社鄉公所","815","高雄縣大社鄉自強街一號					","(07)3513300","376520000A","高雄縣政府","(07)3533801","0000000","0991225","3","是","397700000A","高雄市大社區公所","0991225","",""
"376525905A","高雄縣大社鄉第一公有零售市場","815","高雄縣大社鄉自強街一號					","(07)3513300","376525900A","高雄縣大社鄉公所","(07)3533801","0000000","0910905","4","是","376525906A","高雄縣大社鄉公有零售市場管理所","0910905","",""
"376525906A","高雄縣大社鄉公有零售市場管理所","815","高雄縣大社鄉自強街一號","07-3513300","376525900A","高雄縣大社鄉公所","","0910905","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","376525905A","高雄縣大社鄉第一公有零售市場"
"376525921E","高雄縣大社鄉立圖書館","815","高雄縣大社鄉自強街一號					","(07)3513300","376525900A","高雄縣大社鄉公所","(07)3533801","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376525951J","高雄縣大社鄉立殯葬管理所","815","高雄縣大社鄉和平路2段291號","07-3557991-","376525900A","高雄縣大社鄉公所","07-3557993-","0991017","0991225","4","是","397020100J","高雄市殯葬管理處","0991225","",""
"376526000A","高雄縣鳥松鄉公所","833","高雄縣鳥松鄉中正路九八號					","(07)7314191","376520000A","高雄縣政府","(07)7314954","0000000","0991225","3","是","397710000A","高雄市鳥松區公所","0991225","",""
"376526011I","高雄縣鳥松鄉清潔隊","833","高雄縣鳥松鄉中正路98號","07-7314191-","376526000A","高雄縣鳥松鄉公所","--","0971203","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526021E","高雄縣鳥松鄉立圖書館","833","高雄縣鳥松鄉大仁北路10號					","(07)7314809","376526000A","高雄縣鳥松鄉公所","(07)7314954","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526080J","高雄縣鳥松鄉立托兒所","","高雄縣鳥松鄉同富街132巷30弄9號","07-7335910     ","376526000A","高雄縣鳥松鄉公所","","0901121","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376526100A","高雄縣橋頭鄉公所","825","高雄縣橋頭鄉隆豐北路一號					","07-6110246","376520000A","高雄縣政府","07-6122314","0000000","0991225","3","是","397720000A","高雄市橋頭區公所","0991225","",""
"376526106A","高雄縣橋頭鄉公有零售市場管理所","825","高雄縣橋頭鄉隆豐路一號","07-6113503","376526100A","高雄縣橋頭鄉公所","07-6122314","0000000","0910827","4","是","","","","",""
"376526121E","高雄縣橋頭鄉立圖書館","825","高雄縣橋頭鄉隆豐北路一號					","07-6110154","376526100A","高雄縣橋頭鄉公所","07-6122314","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526200A","高雄縣燕巢鄉公所","82446","高雄市燕巢區安招里中安路1號","07-6161411-","376520000A","高雄縣政府","07-6142091-","0000000","0991225","3","是","397730000A","高雄市燕巢區公所","0991225","",""
"376526211I","高雄縣燕巢鄉清潔隊","824","高雄縣燕巢鄉中民路五九二號				","07-6160044","376526200A","高雄縣燕巢鄉公所","07-6166024","0000000","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526221E","高雄縣燕巢鄉立圖書館","824","高雄縣燕巢鄉中民路五九二號				","07-6168670","376526200A","高雄縣燕巢鄉公所","","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526300A","高雄縣田寮鄉公所","823","高雄縣田寮鄉崗安路七一號					","07-6361475","376520000A","高雄縣政府","07-6361479","0000000","0991225","3","是","397740000A","高雄市田寮區公所","0991225","",""
"376526321E","高雄縣田寮鄉立圖書館","823","高雄縣田寮鄉崗安村崗安路71之1號","07-6381878","376526300A","高雄縣田寮鄉公所","07-6361479","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526400A","高雄縣阿蓮鄉公所","822","高雄縣阿蓮鄉民生路九四號					","07-6311177","376520000A","高雄縣政府","07-6312021","0000000","0991225","3","是","397750000A","高雄市阿蓮區公所","0991225","",""
"376526405A","高雄縣阿蓮鄉第一公有零售市場","822","高雄縣阿蓮鄉民生路九四號					","07-6311177","376526400A","高雄縣阿蓮鄉公所","07-6312021","0000000","0000000","4","是","","","","",""
"376526411I","高雄縣阿蓮鄉清潔隊","822","高雄縣阿蓮鄉民生路94號","07-6311177","376526400A","高雄縣阿蓮鄉公所","07-6319644","0960901","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526416A","高雄縣阿蓮鄉第一公有零售市場管理所","","高雄縣阿蓮鄉民生路九四號","","376526400A","高雄縣阿蓮鄉公所","","0910312","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","",""
"376526421E","高雄縣阿蓮鄉立圖書館","822","高雄縣阿蓮鄉民生路九四號					","07-6312144","376526400A","高雄縣阿蓮鄉公所","07-6312021","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526480J","高雄縣阿蓮鄉立托兒所","822","高雄縣阿蓮鄉民生路九四號					","07-6311177","376526400A","高雄縣阿蓮鄉公所","07-6312021","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376526500A","高雄縣路竹鄉公所","821","高雄縣路竹鄉國昌路七六號					","07-6979202","376520000A","高雄縣政府","07-6969293","0000000","0991225","3","是","397760000A","高雄市路竹區公所","0991225","",""
"376526511I","高雄縣路竹鄉清潔隊","821","高雄縣路竹鄉國昌路七六號					","07-6979226","376526500A","高雄縣路竹鄉公所","07-6974286","0000000","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526521E","高雄縣路竹鄉立圖書館","821","高雄縣路竹鄉國昌路七六號					","07-6979238","376526500A","高雄縣路竹鄉公所","07-6972754","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526580J","高雄縣路竹鄉立托兒所","821","高雄縣路竹鄉國昌路七六號","07-6979228","376526500A","高雄縣路竹鄉公所","07-6969293","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376526591G","高雄縣路竹鄉公園及路燈管理所","821","高雄縣路竹鄉國昌路七六號","07-6979225","376526500A","高雄縣路竹鄉公所","07-6969293","0000000","0991225","4","是","397110300G","高雄市政府工務局養護工程處","0991225","",""
"376526600A","高雄縣湖內鄉公所","829","高雄縣湖內鄉中正路二段七七號				","07-6991221","376520000A","高雄縣政府","07-6995034","0000000","0991225","3","是","397770000A","高雄市湖內區公所","0991225","",""
"376526611I","高雄縣湖內鄉清潔隊","829","高雄縣湖內鄉中賢村中正路二段77號","07-6997478","376526600A","高雄縣湖內鄉公所","07-6998773","0951201","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526621E","高雄縣湖內鄉立圖書館","829","高雄縣湖內鄉中正路二段七七號				","07-6991221","376526600A","高雄縣湖內鄉公所","07-6995304","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526680J","高雄縣湖內鄉立托兒所","829","高雄縣湖內鄉湖中路242巷12弄15號","07-6997253","376526600A","高雄縣湖內鄉公所","07-6997263","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376526700A","高雄縣茄萣鄉公所","852","高雄縣茄萣鄉濱海路4段27號					","07-6900001","376520000A","高雄縣政府","07-6908047","0000000","0991225","3","是","397780000A","高雄市茄萣區公所","0991225","",""
"376526706A","高雄縣茄萣鄉公有零售市場管理所","852","高雄縣茄萣鄉濱海路四段二十七號","07-6900001","376526700A","高雄縣茄萣鄉公所","07-6905393","0000000","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","",""
"376526711I","高雄縣茄萣鄉清潔隊","852","高雄縣茄萣鄉濱海路四段二十七號","07-6900001","376526700A","高雄縣茄萣鄉公所","07-6905393","0000000","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526721E","高雄縣茄萣鄉立圖書館","852","高雄縣茄萣鄉濱海路四段31巷1號","07-6900086","376526700A","高雄縣茄萣鄉公所","07-6905393","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526800A","高雄縣永安鄉公所","828","高雄縣永安鄉永安路三二號","07-6912716-","376520000A","高雄縣政府","07-6914506-","0000000","0991225","3","是","397790000A","高雄市永安區公所","0991225","",""
"376526805A","高雄縣永安鄉公有零售市場","828","高雄縣永安鄉永安村永安路32號","07  6912716","376526800A","高雄縣永安鄉公所","07  6912783","0000000","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","",""
"376526811I","高雄縣永安鄉清潔隊","828","高雄縣永安鄉永安路32號","07-6912716","376526800A","高雄縣永安鄉公所","","0960423","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526821E","高雄縣永安鄉立圖書館","828","高雄縣永安鄉永安路三二號					","07 6912716","376526800A","高雄縣永安鄉公所","07 6912783","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526900A","高雄縣彌陀鄉公所","827","高雄縣彌陀鄉中華路四號					","07-6191216","376520000A","高雄縣政府","07-6192146","0000000","0991225","3","是","397800000A","高雄市彌陀區公所","0991225","",""
"376526905A","高雄縣彌陀鄉公有零售市場","827","高雄縣彌陀鄉中華路四號					","07-6191216","376526900A","高雄縣彌陀鄉公所","07-6192146","0000000","0901101","4","是","","","","",""
"376526906A","高雄縣彌陀鄉公有零售市場管理所","827","高雄縣彌陀鄉中華路四號","07-6191216","376526900A","高雄縣彌陀鄉公所","07-6192146","0901101","0970731","4","是","","","","",""
"376526911I","高雄縣彌陀鄉清潔隊","","","","376526900A","高雄縣彌陀鄉公所","","0931117","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376526921E","高雄縣彌陀鄉立圖書館","827","高雄縣彌陀鄉中華路四號					","07-6191216","376526900A","高雄縣彌陀鄉公所","07-6192146","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376526951J","高雄縣彌陀鄉殯葬管理所","82743","高雄縣彌陀鄉中華路4號","07-6191216","376526900A","高雄縣彌陀鄉公所","07-6192146","0970818","0991225","4","是","397020100J","高雄市殯葬管理處","0991225","",""
"376527000A","高雄縣梓官鄉公所","826","高雄縣梓官鄉梓官路258號				","07-6174111","376520000A","高雄縣政府","07-6172118","0000000","0991225","3","是","397810000A","高雄市梓官區公所","0991225","",""
"376527005A","高雄縣梓官鄉第一公有零售市場","826","高雄縣梓官鄉梓官路258號				","07-6174111","376527000A","高雄縣梓官鄉公所","","0000000","0991225","4","是","397170000G","高雄市政府經濟發展局","0991225","",""
"376527021E","高雄縣梓官鄉立圖書館","826","高雄縣梓官鄉梓官路263號","07-6170324","376527000A","高雄縣梓官鄉公所","","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527100A","高雄縣六龜鄉公所","844","高雄縣六龜鄉民治路一八號					","07-6892100","376520000A","高雄縣政府","07-6893907","0000000","0991225","3","是","397820000A","高雄市六龜區公所","0991225","",""
"376527111I","高雄縣六龜鄉清潔隊","844","高雄縣六龜鄉六龜村民治路18號","07-6982100","376527100A","高雄縣六龜鄉公所","","0930726","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376527121E","高雄縣六龜鄉立圖書館","844","高雄縣六龜鄉民治路一八號					","07-6892105","376527100A","高雄縣六龜鄉公所","07-6891080","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527151J","高雄縣六龜鄉公墓及納骨堂管理所","844","高雄縣六龜鄉中興村中庄路215之36號","07-6893177","376527100A","高雄縣六龜鄉公所","","0940729","0991225","4","是","397020100J","高雄市殯葬管理處","0991225","",""
"376527180J","高雄縣六龜鄉立托兒所","844","高雄縣六龜鄉興龍村土龍三十五之二號","07-6894597","376527100A","高雄縣六龜鄉公所","07-6891080","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376527200A","高雄縣甲仙鄉公所","847","高雄縣甲仙鄉和安村中山路五十號					","07-6751600","376520000A","高雄縣政府","07-6753101","0000000","0991225","3","是","397830000A","高雄市甲仙區公所","0991225","",""
"376527221E","高雄縣甲仙鄉立圖書館","847","高雄縣甲仙鄉和安村中山路四十八號					","07-6751773","376527200A","高雄縣甲仙鄉公所","07-6753101","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527300A","高雄縣杉林鄉公所","846","高雄縣衫林鄉山仙路六號					","07-6771340","376520000A","高雄縣政府","07-6772874","0000000","0991225","3","是","397840000A","高雄市杉林區公所","0991225","",""
"376527311I","高雄縣杉林鄉清潔隊","84654","高雄縣杉林鄉上平村山仙路6號","07-6771340","376527300A","高雄縣杉林鄉公所","07-6772874","0970118","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376527321E","高雄縣杉林鄉立圖書館","846","高雄縣衫林鄉山仙路六號","07-6771340","376527300A","高雄縣杉林鄉公所","07-6772874","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527380J","高雄縣杉林鄉立托兒所","846","高雄縣衫林鄉山仙路六號","07-6771340-","376527300A","高雄縣杉林鄉公所","07-6772874-","0000000","0970801","4","是","","","","",""
"376527400A","高雄縣內門鄉公所","845","高雄縣內門鄉內門村內門20號					","07-6671211","376520000A","高雄縣政府","07-6673111","0000000","0991225","3","是","397850000A","高雄市內門區公所","0991225","",""
"376527411I","高雄縣內門鄉清潔隊","","高雄縣內門鄉內門村內門20號","07-6773774","376527400A","高雄縣內門鄉公所","","0940627","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376527421E","高雄縣內門鄉立圖書館","845","高雄縣內門鄉觀亭村中正路115巷18號之1					","07-6671214","376527400A","高雄縣內門鄉公所","","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527480J","高雄縣內門鄉立托兒所","845","高雄縣內門鄉觀亭村中正路227號","07-6674739","376527400A","高雄縣內門鄉公所","07-6674770","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376527500A","高雄縣茂林鄉公所","851","高雄縣茂林鄉茂林村十一號					","07-6801045","376520000A","高雄縣政府","07-6801463","0000000","0991225","3","是","397860000A","高雄市茂林區公所","0991225","",""
"376527511I","高雄縣茂林鄉清潔隊","851","高雄縣茂林鄉茂林村1鄰11號","076801045","376527500A","高雄縣茂林鄉公所","076801463","0940516","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376527521E","高雄縣茂林鄉立圖書館","851","高雄縣茂林鄉茂林村十一號					","07-6801340","376527500A","高雄縣茂林鄉公所","07-6801463","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527580J","高雄縣茂林鄉立托兒所","851","高雄縣茂林鄉茂林村十一號","07-6801045","376527500A","高雄縣茂林鄉公所","07-6801463","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376527600A","高雄縣桃源鄉公所","848","高雄縣桃源鄉北進巷一號					","07--6861132","376520000A","高雄縣政府","07--6861004","0000000","0991225","3","是","397870000A","高雄市桃源區公所","0991225","",""
"376527611I","高雄縣桃源鄉清潔隊","848","高雄縣桃源鄉桃源村北進巷1號","07-6861004","376527600A","高雄縣桃源鄉公所","","0941209","0991225","4","是","397150000I","高雄市政府環境保護局","0991225","",""
"376527621E","高雄縣桃源鄉立圖書館","848","高雄縣桃源鄉北進巷一號					","07-6861268","376527600A","高雄縣桃源鄉公所","07-6861004","0000000","0991225","4","是","397330100E","高雄市立圖書館","0991225","",""
"376527631E","高雄縣桃源鄉立布農文物館","","高雄縣桃源鄉梅山巷44-5號","","376527600A","高雄縣桃源鄉公所","","0950701","0991225","4","是","397340000A","高雄市政府原住民事務委員會","0991225","",""
"376527680J","高雄縣桃源鄉立托兒所","848","高雄縣桃源鄉桃源村北進巷號","07-6861132","376527600A","高雄縣桃源鄉公所","07-6861004","0000000","0991225","4","是","397120000J","高雄市政府社會局","0991225","",""
"376527681J","高雄縣桃源鄉立社會福利館","848","高雄縣桃源鄉北進巷1號","07-6861202","376527600A","高雄縣桃源鄉公所","07-6861004","0000000","0991225","4","是","397340000A","高雄市政府原住民事務委員會","0991225","",""
"376527691G","高雄縣桃源鄉公園路蹬管理所","848","高雄縣桃源鄉北進巷號","07-6861132","376527600A","高雄縣桃源鄉公所","07-6861004","0000000","0991225","4","是","397110300G","高雄市政府工務局養護工程處","0991225","",""
"376527700A","高雄縣三民鄉公所","849","高雄縣三民鄉民族村一號					","07-6701001-14","376520000A","高雄縣政府","07-6701171","0000000","0970630","3","是","376527800A","高雄縣那瑪夏鄉公所","0970702","",""
"376527721E","高雄縣三民鄉立圖書館","849","高雄縣三民鄉民族村一號					","07-6701372","376527700A","高雄縣三民鄉公所","","0000000","0970630","4","是","376527821E","高雄縣那瑪夏鄉立圖書館","0970702","",""
"376527780J","高雄縣三民鄉立托兒所","849","高雄縣三民鄉民族村一號","07-6701001","376527700A","高雄縣三民鄉公所","07-6701171","0000000","0970630","4","是","376527880J","高雄縣那瑪夏鄉立托兒所","0970702","",""
"376527800A","高雄縣那瑪夏鄉公所","849","高雄縣那瑪夏鄉南沙魯村鞍山巷1號","07-6701001","376520000A","高雄縣政府","07-6701161","0970702","0991225","3","是","397880000A","高雄市那瑪夏區公所","0991225","376527700A","高雄縣三民鄉公所"
"376527821E","高雄縣那瑪夏鄉立圖書館","849","高雄縣那瑪夏鄉南沙魯村鞍山巷1號","07-6701372","376527800A","高雄縣那瑪夏鄉公所","","0970702","0991225","4","是","397330100E","高雄市立圖書館","0991225","376527721E","高雄縣三民鄉立圖書館"
"376527880J","高雄縣那瑪夏鄉立托兒所","849","高雄縣那瑪夏鄉南沙魯村鞍山巷1號","07-6701001","376527800A","高雄縣那瑪夏鄉公所","","0970702","0991225","4","是","397120000J","高雄市政府社會局","0991225","376527780J","高雄縣三民鄉立托兒所"
"376529401W","高雄縣立特殊教育學校","814","高雄縣仁武鄉八卦村澄觀路1389號","07-3749788","376520000A","高雄縣政府","07-3745051","0000000","0991225","3","是","397054400W","高雄市立仁武特殊教育學校","0991225","",""
"376529503U","高雄縣立路竹中學","","","--","376520000A","高雄縣政府","--","0000000","0000000","3","是","376529523U","高雄縣立路竹高級中學","0000000","",""
"376529521U","高雄縣立林園高級中學","83252","高雄縣林園鄉林園北路481號","07-6412059","376520000A","高雄縣政府","","0000000","0991225","3","是","397050400U","高雄市立林園高級中學","0991225","",""
"376529522U","高雄縣立仁武高級中學","814","高雄縣仁武鄉文武村仁林路二十號","07-3742282","376520000A","高雄縣政府","","0000000","0991225","3","是","397050500U","高雄市立仁武高級中學","0991225","",""
"376529523U","高雄縣立路竹高級中學","821","高雄縣路竹鄉文南村中華路292號","07-6963008","376520000A","高雄縣政府","","0000000","0991225","3","是","397050600U","高雄市立路竹高級中學","0991225","376529503U","高雄縣立路竹中學"
"376529524U","高雄縣立文山高級中學","833","高雄縣鳥松鄉大埤路31號","07-7777272","376520000A","高雄縣政府","","0000000","0991225","3","是","397050700U","高雄市立文山高級中學","0991225","",""
"376529525U","高雄縣立六龜高級中學","844","高雄縣六龜鄉義寶村光復路212號","07-6891023","376520000A","高雄縣政府","","0000000","0991225","3","是","397050800U","高雄市立六龜高級中學","0991225","",""
"376529526U","高雄縣立福誠高級中學","830","高雄縣鳳山市五甲三路176號","07-8224646","376520000A","高雄縣政府","","0000000","0991225","3","是","397050900U","高雄市立福誠高級中學","0991225","",""
"376529601X","高雄縣立大寮國民中學","831","高雄縣大寮鄉進學路一五０號				","07-7837091","376520000A","高雄縣政府","07-7838251","0000000","0991225","3","是","397058600X","高雄市立大寮國民中學","0991225","",""
"376529602X","高雄縣立前峰國民中學","820","高雄縣岡山鎮樹人路 1 號
					","07-6212804","376520000A","高雄縣政府","07-6226884","0000000","0991225","3","是","397058700X","高雄市立前峰國民中學","0991225","",""
"376529603X","高雄縣立茄萣國民中學","852","高雄縣茄萣鄉濱海路四段二十九號					","07-6900054","376520000A","高雄縣政府","07-6908921","0000000","0991225","3","是","397058800X","高雄市立茄萣國民中學","0991225","",""
"376529604X","高雄縣立鳳山國民中學","830","高雄縣鳳山市中山東路二二七號				","07-7463345","376520000A","高雄縣政府","77404988","0000000","0991225","3","是","397058900X","高雄市立鳳山國民中學","0991225","",""
"376529606X","高雄縣立旗山國民中學","842","高雄縣旗山鎮中學路四二號					","07-6612650","376520000A","高雄縣政府","07-6623138","0000000","0991225","3","是","397059000X","高雄市立旗山國民中學","0991225","",""
"376529607X","高雄縣立大樹國民中學","840","高雄縣大樹鄉九曲路500號					","07-6512026","376520000A","高雄縣政府","07-6515604","0000000","0991225","3","是","397059100X","高雄市立大樹國民中學","0991225","",""
"376529608X","高雄縣立岡山國民中學","820","高雄縣岡山鎮岡燕路二三八號				","07-6212219","376520000A","高雄縣政府","07-6232716","0000000","0991225","3","是","397059200X","高雄市立岡山國民中學","0991225","",""
"376529609X","高雄縣立阿蓮國民中學","822","高雄縣阿蓮鄉民生路178號				","07-6312045","376520000A","高雄縣政府","07-7105955","0000000","0991225","3","是","397059300X","高雄市立阿蓮國民中學","0991225","",""
"376529610X","高雄縣立湖內國民中學","829","高雄縣湖內鄉中山路二段六三號","07-6993008-","376520000A","高雄縣政府","07-6994393-","0000000","0991225","3","是","397059400X","高雄市立湖內國民中學","0991225","",""
"376529611X","高雄縣立美濃國民中學","843","高雄縣美濃鎮中正路1段191號				","07-6816166","376520000A","高雄縣政府","07-6818256","0000000","0991225","3","是","397059500X","高雄市立美濃國民中學","0991225","",""
"376529613X","高雄縣立大洲國民中學","842","高雄縣旗山鎮新南巷五號					","07-6661378","376520000A","高雄縣政府","07-6662294","0000000","0991225","3","是","397059600X","高雄市立大洲國民中學","0991225","",""
"376529614X","高雄縣立杉林國民中學","846","高雄縣杉林鄉清水路中學巷六號				","07-6771108","376520000A","高雄縣政府","07-6771209","0000000","0991225","3","是","397059700X","高雄市立杉林國民中學","0991225","",""
"376529615X","高雄縣立路竹國民中學","","","--","376520000A","高雄縣政府","--","0000000","0000000","3","是","","","","",""
"376529616X","高雄縣立橋頭國民中學","825","高雄縣橋頭鄉新興路七十號					","(07)6113559","376520000A","高雄縣政府","(07)6122845","0000000","0991225","3","是","397059800X","高雄市立橋頭國民中學","0991225","",""
"376529618X","高雄縣立燕巢國民中學","824","高雄縣燕巢鄉南燕村中興路二六七號				","07-6161267","376520000A","高雄縣政府","07-6167309","0000000","0991225","3","是","397059900X","高雄市立燕巢國民中學","0991225","",""
"376529619X","高雄縣立內門國民中學","845","高雄縣內門鄉中正路一六０巷三十號				","07-6671002","376520000A","高雄縣政府","07-6673002","0000000","0991225","3","是","397060000X","高雄市立內門國民中學","0991225","",""
"376529620X","高雄縣立甲仙國民中學","847","高雄縣甲仙鄉文化南路六號					","07-6751018","376520000A","高雄縣政府","07-6751653","0000000","0991225","3","是","397060100X","高雄市立甲仙國民中學","0991225","",""
"376529621X","高雄縣立梓官國民中學","826","高雄縣梓官鄉中學路七一號					","07-6172854","376520000A","高雄縣政府","07-6175497","0000000","0991225","3","是","397060200X","高雄市立梓官國民中學","0991225","",""
"376529622X","高雄縣立南隆國民中學","843","高雄縣美濃鎮南中街三號					","07-6831153","376520000A","高雄縣政府","07-6830220","0000000","0991225","3","是","397060300X","高雄市立南隆國民中學","0991225","",""
"376529624X","高雄縣立田寮國民中學","823","高雄縣田寮鄉崗安路四八號","07-6361687","376520000A","高雄縣政府","07-6361507","0000000","0991225","3","是","397060400X","高雄市立田寮國民中學","0991225","",""
"376529625X","高雄縣立鳳西國民中學","830","高雄縣鳳山市復興街一０一號				","07-7199282","376520000A","高雄縣政府","07-7463444","0000000","0991225","3","是","397060500X","高雄市立鳳西國民中學","0991225","",""
"376529626X","高雄縣立圓富國民中學","842","高雄縣旗山鎮旗甲路二段六０九號				","07-6691004","376520000A","高雄縣政府","07-6691342","0000000","0991225","3","是","397060600X","高雄市立圓富國民中學","0991225","",""
"376529627X","高雄縣立大社國民中學","815","高雄縣大社鄉翠屏路一００號				","(07)3530100ex.18","376520000A","高雄縣政府","(07)3524306","0000000","0991225","3","是","397060700X","高雄市立大社國民中學","0991225","",""
